layout,AgglomerativeClustering,OPTICS,KMeans,GMM,Birch,Genie,Girvan-Newman,Leiden,assortativity,graph_id,size
lgl,0.0818678351223916,0.0643039451221829,0.08134427767333,0.0984976954410474,0.0818678351223916,0.1097388988350285,1.0,1.0,0.8101171339806097,2,75
mds,0.5304352993790175,0.1040580111316075,0.5469346862551271,0.5716674458980342,0.5808152677772738,0.546435150330215,1.0,1.0,0.8101171339806097,2,75
kamada_kawai,0.4767453839494088,0.3321316933012275,0.4625702237834861,0.4712330497497232,0.3637980751575179,0.4620602921617208,0.9162902436733368,0.7464911092991809,0.7766556314906122,27,75
spring,0.609304974303499,0.4560440022943807,0.6484354482167307,0.6566385424049391,0.3446147175658118,0.548510033127344,0.9162902436733368,0.7464911092991809,0.7766556314906122,27,75
davidson_harel,0.1543763215895306,0.1856340635090139,0.137421427741493,0.1395487953661479,0.1543763215895306,0.139491755293811,0.9162902436733368,0.7464911092991809,0.7766556314906122,27,75
drl,0.222100253800197,0.1685581388093854,0.2141494417310303,0.2040893841872602,0.2091262021677535,0.204888448901382,0.9162902436733368,0.7464911092991809,0.7766556314906122,27,75
fruchterman_reingold,0.1593863996221087,0.1751640160601335,0.1517551591401485,0.1540766987037855,0.1725289093558972,0.1518934808620359,0.9162902436733368,0.7464911092991809,0.7766556314906122,27,75
graphopt,0.1719899589327959,0.192583235958965,0.1917897310374415,0.1955743889259389,0.1719899589327959,0.1694212281999871,0.9162902436733368,0.7464911092991809,0.7766556314906122,27,75
lgl,0.091893099278878,0.0711507605901998,0.094533801929826,0.094820110120795,0.091893099278878,0.0925507146734826,0.9162902436733368,0.7464911092991809,0.7766556314906122,27,75
mds,0.1991925850647189,0.1096684821090477,0.2046675395811815,0.1852785727329288,0.1708378133613254,0.1727254195964964,0.9162902436733368,0.7464911092991809,0.7766556314906122,27,75
kamada_kawai,0.3153154460841813,0.052538805592913,0.2797408301582462,0.2816745778793287,0.2592063744778618,0.1947222573919634,0.6017315473623228,0.7174465801515714,0.5551415198653276,28,75
spring,0.3089338684775078,0.0288272287681896,0.3277240171687784,0.3372753014769785,0.1749768710545065,0.2194542447750779,0.6017315473623228,0.7174465801515714,0.5551415198653276,28,75
